iter	Logloss
0	0.6773011571
1	0.664244907
2	0.6530858745
3	0.6420219298
4	0.6326114649
5	0.62374127
6	0.6169018054
7	0.609662406
8	0.6034142627
9	0.5986572077
10	0.5917702762
11	0.5875526126
12	0.5828475287
13	0.5791452712
14	0.5751270172
15	0.571915396
16	0.5690673515
17	0.5661945468
18	0.5631920813
19	0.5601095914
20	0.5575118016
21	0.5545772386
22	0.5521432589
23	0.549748289
24	0.5476447039
25	0.5461395843
26	0.5447374332
27	0.5425969007
28	0.5411492843
29	0.5394084892
30	0.5376924349
31	0.5363973444
32	0.5349267334
33	0.5339857387
34	0.5329705165
35	0.531710052
36	0.5314118319
37	0.5299230333
38	0.5284893109
39	0.5275347016
40	0.5264762321
41	0.5260139418
42	0.5251542684
43	0.524318436
44	0.5234042896
45	0.5224664685
46	0.5215045536
47	0.5208473138
48	0.5201936431
49	0.5193639688
50	0.5188453998
51	0.5183475983
52	0.5176247631
53	0.5169479154
54	0.5163767531
55	0.5155570413
56	0.514469743
57	0.5137169676
58	0.5132618311
59	0.5124654999
60	0.5118491343
61	0.5113593975
62	0.5109983704
63	0.5105826937
64	0.5100972226
65	0.5097973942
66	0.5097758037
67	0.5092757423
68	0.5086543536
69	0.5083455789
70	0.5080176557
71	0.5075484021
72	0.5066195717
73	0.5064339818
74	0.5058781436
75	0.5054812156
76	0.5054151158
77	0.5047077864
78	0.5045189676
79	0.5041321199
80	0.5038353464
81	0.5035612975
82	0.5031387806
83	0.5024815342
84	0.5024390993
85	0.5021030485
86	0.5018572201
87	0.5014554652
88	0.5011760688
89	0.5010003792
90	0.5009748554
91	0.5008864767
92	0.5008864711
93	0.500464548
94	0.5001183405
95	0.4998812782
96	0.4993174848
97	0.4989324817
98	0.4986829398
99	0.4978859873
100	0.4977772781
101	0.4977113366
102	0.4973127773
103	0.4967920043
104	0.4965086189
105	0.4962155302
106	0.496121939
107	0.4958652357
108	0.4955861247
109	0.4955848217
110	0.4947158947
111	0.4944974334
112	0.4942468776
113	0.4938317647
114	0.4936552066
115	0.4936540117
116	0.4935262514
117	0.4935246328
118	0.4935140005
119	0.4934870231
120	0.4933198513
121	0.4925877777
122	0.491800225
123	0.4912067157
124	0.4902406848
125	0.4894783031
126	0.4893593587
127	0.4891949289
128	0.4888281435
129	0.4888217639
130	0.4887762356
131	0.4886209984
132	0.4884448626
