iter	Passed	Remaining
277	33004	109461
278	33122	109340
279	33244	109231
280	33374	109150
281	33492	109027
282	33633	108980
283	33747	108848
284	33871	108746
285	33991	108629
286	34100	108480
287	34220	108363
288	34362	108318
289	34500	108260
290	34638	108202
291	34764	108101
292	34889	108002
293	35010	107889
294	35136	107791
295	35248	107651
296	35360	107509
297	35467	107354
298	35589	107243
299	35707	107123
300	35823	106993
301	35944	106880
302	36063	106761
303	36200	106697
304	36347	106657
305	36495	106624
306	36633	106559
307	36778	106513
308	36912	106437
309	37029	106310
310	37146	106183
311	37278	106099
312	37402	105994
313	37528	105891
314	37650	105779
315	37761	105635
316	37886	105532
317	38010	105425
318	38132	105312
319	38303	105335
320	38460	105317
321	38592	105230
322	38721	105135
323	38839	105010
324	38969	104919
325	39109	104852
326	39253	104796
327	39389	104719
328	39579	104782
329	39766	104838
330	39948	104880
331	40103	104847
332	40266	104836
333	40475	104944
334	40593	104815
335	40717	104701
336	40837	104577
337	40952	104440
338	41061	104289
339	41197	104206
340	41352	104170
341	41490	104089
342	41634	104026
343	41771	103943
344	41885	103801
345	41994	103651
346	42118	103537
347	42240	103416
348	42389	103361
349	42531	103290
350	42826	103588
351	42950	103471
352	43067	103336
353	43186	103207
354	43310	103092
355	43442	102992
356	43564	102871
357	43689	102755
358	43799	102606
359	43923	102488
360	44051	102378
361	44171	102254
362	44301	102150
363	44440	102066
364	44565	101951
365	44686	101827
366	44810	101709
367	44932	101587
368	45051	101456
369	45182	101355
370	45307	101239
371	45428	101114
372	45528	100943
373	45641	100801
374	45765	100684
375	45887	100561
376	46008	100437
377	46118	100290
378	46238	100164
379	46362	100045
380	46487	99929
381	46603	99795
382	46726	99675
383	46852	99561
384	46972	99435
385	47089	99303
386	47211	99180
387	47330	99053
388	47457	98941
389	47589	98839
390	47719	98734
391	47841	98612
392	47960	98484
393	48072	98341
394	48180	98190
395	48285	98033
396	48412	97923
397	48528	97788
398	48629	97623
399	48735	97471
400	48866	97366
401	49000	97268
402	49123	97150
403	49246	97030
404	49387	96946
405	49526	96856
406	49648	96736
407	49781	96635
408	49918	96541
409	50034	96408
410	50141	96257
411	50260	96129
412	50385	96013
413	50509	95895
414	50642	95794
415	50767	95677
416	50889	95554
417	51003	95417
418	51125	95295
419	51241	95162
420	51364	95042
421	51486	94920
422	51609	94799
423	51728	94673
424	51857	94563
425	51975	94434
426	52093	94304
427	52211	94175
428	52320	94031
429	52447	93917
430	52566	93790
431	52692	93675
432	52813	93551
433	52932	93424
434	53055	93304
435	53174	93177
436	53293	93049
437	53410	92920
438	53537	92805
439	53653	92673
440	53780	92560
441	53901	92436
442	54016	92304
443	54136	92178
444	54257	92054
445	54386	91945
446	54512	91829
447	54619	91683
448	54728	91538
449	54841	91401
450	54958	91272
451	55070	91134
452	55193	91014
453	55321	90903
454	55439	90774
455	55564	90657
456	55671	90512
457	55787	90380
458	55903	90250
459	56019	90118
460	56148	90008
461	56277	89897
462	56401	89779
463	56527	89663
464	56649	89542
465	56762	89406
466	56878	89276
467	57002	89157
468	57126	89039
469	57247	88916
470	57375	88803
471	57492	88674
472	57617	88557
473	57740	88438
474	57860	88313
475	57984	88195
476	58107	88075
477	58215	87932
478	58345	87822
479	58474	87711
480	58603	87600
481	58720	87471
482	58821	87319
483	58939	87190
484	59062	87071
485	59183	86948
486	59308	86831
487	59410	86680
488	59532	86559
489	59655	86439
490	59776	86317
491	60054	86419
492	60205	86339
493	60326	86215
494	60454	86101
495	60573	85975
496	60692	85848
497	60816	85728
498	60926	85590
499	61044	85461
500	61168	85342
501	61300	85234
502	61425	85116
503	61543	84989
504	61668	84870
505	61777	84729
506	61890	84595
507	62014	84476
508	62131	84347
509	62245	84215
510	62363	84087
511	62471	83946
512	62590	83820
513	62713	83699
514	62836	83579
515	62938	83430
516	63054	83300
517	63177	83179
518	63302	83061
519	63420	82934
520	63540	82810
521	63669	82697
522	63787	82569
523	63910	82449
524	64035	82331
525	64156	82208
526	64284	82093
527	64398	81961
528	64524	81844
529	64638	81712
530	64765	81597
531	64868	81450
532	64987	81325
533	65101	81194
534	65226	81075
535	65343	80947
536	65459	80818
537	65572	80686
538	65697	80568
539	65818	80444
540	65937	80319
541	66062	80201
542	66180	80074
543	66299	79949
544	66421	79828
545	66547	79710
546	66653	79569
547	66771	79443
548	66893	79322
549	67015	79199
550	67134	79074
551	67245	78940
552	67365	78816
553	67479	78685
554	67601	78563
555	67724	78443
556	67848	78323
557	67952	78182
558	68069	78054
559	68194	77936
560	68307	77805
561	68408	77659
562	68526	77533
563	68644	77408
564	68766	77285
565	68888	77164
566	69003	77035
567	69117	76905
568	69233	76777
569	69356	76657
570	69475	76532
571	69597	76411
572	69750	76323
573	69880	76210
574	69995	76081
575	70112	75954
576	70228	75827
577	70349	75704
578	70459	75570
579	70584	75452
580	70692	75316
581	70815	75195
582	70941	75078
583	71061	74955
584	71185	74836
585	71305	74712
586	71431	74594
587	71552	74472
588	71674	74351
589	71785	74218
590	71923	74114
591	72047	73995
592	72169	73873
593	72289	73749
594	72407	73624
595	72540	73514
596	72664	73394
597	72789	73276
598	72917	73161
599	73039	73039
600	73155	72912
601	73295	72808
602	73413	72682
603	73540	72566
604	73658	72440
605	73787	72326
606	73907	72203
607	74031	72083
608	74151	71959
609	74277	71842
610	74406	71727
611	74544	71621
612	74669	71502
613	74808	71396
614	74932	71277
615	75060	71161
616	75195	71051
617	75322	70934
618	75460	70828
619	75604	70726
620	75746	70623
621	75885	70517
622	76028	70415
623	76153	70295
624	76272	70170
625	76402	70056
626	76533	69942
627	76668	69831
628	76813	69730
629	76944	69616
630	77076	69503
631	77211	69392
632	77351	69286
633	77473	69163
634	77599	69044
635	77733	68933
636	77883	68835
637	78023	68729
638	78156	68616
639	78288	68502
640	78419	68387
641	78550	68272
642	78676	68153
643	78797	68029
644	78920	67908
645	79032	67777
646	79139	67641
647	79255	67513
648	79376	67390
649	79516	67282
650	79641	67162
651	79761	67039
652	79871	66906
653	79979	66771
654	80117	66662
655	80241	66541
656	80358	66414
657	80472	66285
658	80609	66175
659	80730	66051
660	80852	65929
661	80973	65806
662	81081	65672
663	81191	65539
664	81316	65419
665	81430	65291
666	81556	65171
667	81686	65055
668	81810	64935
669	81929	64809
670	82048	64684
671	82166	64559
672	82287	64436
673	82406	64311
674	82536	64194
675	82660	64073
676	82785	63954
677	82898	63824
678	83021	63702
679	83136	63574
680	83258	63452
681	83377	63327
682	83500	63205
683	83625	63086
684	83742	62959
685	83868	62840
686	83987	62715
687	84101	62587
688	84221	62463
689	84335	62335
690	84454	62210
691	84581	62091
692	84702	61968
693	84821	61843
694	84938	61717
695	85063	61597
696	85178	61470
697	85302	61349
698	85418	61223
699	85542	61101
700	85661	60977
701	85777	60850
702	85902	60730
703	86028	60611
704	86153	60490
705	86285	60375
706	86444	60278
707	86579	60165
708	86691	60035
709	86812	59913
710	86937	59792
711	87052	59665
712	87182	59548
713	87280	59409
714	87396	59283
715	87514	59157
716	87638	59036
717	87740	58900
718	87860	58777
719	87972	58648
720	88100	58530
721	88234	58415
722	88390	58315
723	88524	58201
724	88655	58084
725	88775	57960
726	88907	57844
727	89037	57727
728	89171	57613
729	89305	57498
730	89450	57390
731	89591	57279
732	89747	57178
733	89890	57069
734	90023	56953
735	90160	56840
736	90297	56727
737	90447	56621
738	90604	56520
739	90757	56416
740	90897	56304
741	91037	56192
742	91196	56092
743	91347	55987
744	91492	55878
745	91661	55783
746	91847	55698
747	92024	55608
748	92205	55520
749	92345	55407
750	92530	55321
751	92682	55215
752	92826	55103
753	92984	55001
754	93153	54905
755	93293	54791
756	93434	54678
757	93590	54573
758	93705	54445
759	93830	54322
760	93950	54197
761	94080	54077
762	94211	53958
763	94330	53832
764	94457	53711
765	94596	53596
766	94773	53503
767	94924	53395
768	95079	53288
769	95243	53188
770	95372	53067
771	95514	52953
772	95652	52838
773	95789	52721
774	95927	52605
775	96075	52494
776	96222	52383
777	96372	52274
778	96523	52164
779	96869	52160
780	97036	52059
781	97198	51955
782	97359	51850
783	97491	51730
784	97610	51602
785	97756	51490
786	97883	51366
787	98009	51243
788	98145	51125
789	98284	51008
790	98436	50898
791	98566	50776
792	98684	50649
793	98822	50531
794	98972	50419
795	99117	50305
796	99259	50190
797	99376	50061
798	99503	49938
799	99627	49813
800	99782	49704
801	99963	49607
802	100119	49498
803	100270	49387
804	100439	49283
805	100609	49181
806	100788	49082
807	100989	48994
808	101175	48899
809	101334	48790
810	101479	48675
811	101654	48573
812	101817	48466
813	101951	48345
814	102085	48224
815	102266	48125
816	102399	48003
817	102530	47880
818	102669	47761
819	102803	47640
820	102908	47505
821	103037	47382
822	103161	47256
823	103276	47126
824	103379	46990
825	103472	46850
826	103571	46713
827	103669	46576
828	103766	46438
829	103865	46301
830	103970	46167
831	104078	46034
832	104181	45899
833	104279	45762
834	104376	45625
835	104475	45489
836	104567	45350
837	104665	45213
838	104770	45079
839	104862	44941
840	104968	44808
841	105066	44671
842	105224	44561
843	105317	44422
844	105449	44301
845	105592	44183
846	105724	44062
847	105835	43931
848	105938	43797
849	106037	43662
850	106170	43541
851	106291	43414
852	106396	43282
853	106518	43156
854	106661	43038
855	106766	42906
856	106873	42774
857	107110	42694
858	107221	42563
859	107328	42432
860	107431	42298
861	107535	42165
862	107640	42033
863	107737	41898
864	107917	41794
865	108028	41664
866	108142	41535
867	108242	41401
868	108329	41262
869	108435	41130
870	108546	41000
871	108643	40865
872	108747	40733
873	108879	40611
874	108973	40475
875	109072	40341
876	109178	40210
877	109269	40073
878	109368	39939
879	109465	39805
880	109557	39669
881	109652	39534
882	109750	39400
883	109857	39270
884	109965	39140
885	110091	39016
886	110209	38890
887	110300	38754
888	110401	38621
889	110497	38487
890	110596	38354
891	110710	38227
892	110816	38097
893	110932	37970
894	111041	37840
895	111149	37711
896	111245	37577
897	111351	37447
898	111454	37316
899	111602	37200
900	111710	37071
901	111822	36943
902	111924	36812
903	112031	36682
904	112127	36549
905	112228	36418
906	112347	36293
907	112461	36166
908	112646	36061
909	112798	35946
910	112951	35831
911	113132	35726
912	113263	35604
913	113370	35474
914	113472	35343
915	113578	35214
916	113678	35083
917	113780	34952
918	113909	34829
919	114204	34758
920	114370	34646
921	114545	34537
922	114870	34473
923	115073	34372
924	115219	34254
925	115356	34133
926	115500	34014
927	115656	33899
928	115817	33785
929	115977	33671
930	116216	33579
931	116338	33453
932	116440	33322
933	116556	33194
934	116651	33061
935	116751	32929
936	116851	32798
937	116953	32667
938	117051	32535
939	117162	32406
940	117262	32275
941	117359	32143
942	117457	32011
943	117568	31882
944	117671	31752
945	117771	31621
946	117870	31490
947	117974	31360
948	118090	31233
949	118338	31141
950	118506	31028
951	118606	30897
952	118712	30768
953	118810	30636
954	118911	30506
955	119008	30374
956	119104	30242
957	119206	30112
958	119309	29982
959	119403	29850
960	119503	29720
961	119601	29589
962	119694	29457
963	119796	29327
964	119889	29195
965	119987	29065
966	120089	28935
967	120205	28809
968	120310	28680
969	120408	28550
970	120508	28420
971	120610	28291
972	120715	28162
973	120818	28033
974	120912	27902
975	121018	27774
976	121123	27646
977	121254	27524
978	121383	27401
979	121502	27276
980	121623	27151
981	121754	27029
982	121882	26905
983	122004	26781
984	122134	26658
985	122262	26535
986	122392	26413
987	122513	26288
988	122637	26164
989	122760	26040
990	122890	25917
991	123014	25793
992	123136	25668
993	123262	25545
994	123380	25420
995	123515	25298
996	123639	25174
997	123765	25050
998	123890	24926
999	124007	24801
1000	124132	24677
1001	124286	24559
1002	124456	24444
1003	124592	24322
1004	124720	24199
1005	124853	24077
1006	124980	23953
1007	125110	23830
1008	125243	23708
1009	125370	23584
1010	125500	23461
1011	125624	23337
1012	125747	23212
1013	125874	23089
1014	125993	22964
1015	126116	22839
1016	126241	22716
1017	126366	22592
1018	126494	22468
1019	126619	22344
1020	126740	22219
1021	126870	22096
1022	126983	21970
1023	127100	21845
1024	127219	21720
1025	127360	21599
1026	127488	21475
1027	127610	21351
1028	127748	21229
1029	127876	21105
1030	128010	20983
1031	128145	20860
1032	128294	20740
1033	128439	20619
1034	128567	20496
1035	128696	20372
1036	128817	20248
1037	128958	20126
1038	129080	20001
1039	129208	19878
1040	129511	19781
1041	129650	19659
1042	129805	19539
1043	129931	19415
1044	130056	19290
1045	130197	19168
1046	130298	19040
1047	130419	18915
1048	130544	18791
1049	130665	18666
1050	130787	18541
1051	130930	18419
1052	131079	18298
1053	131207	18174
1054	131310	18047
1055	131436	17923
1056	131578	17801
1057	131716	17678
1058	131869	17557
1059	131996	17433
1060	132140	17311
1061	132279	17188
1062	132411	17065
1063	132543	16941
1064	132687	16819
1065	132818	16695
1066	132955	16572
1067	133090	16449
1068	133214	16324
1069	133367	16203
1070	133661	16099
1071	133792	15975
1072	133927	15851
1073	134068	15728
1074	134224	15607
1075	134372	15485
1076	134495	15360
1077	134602	15233
1078	134712	15106
1079	134817	14979
1080	134964	14857
1081	135089	14732
1082	135204	14606
1083	135307	14479
1084	135439	14355
1085	135540	14227
1086	135649	14101
1087	135764	13975
1088	135911	13853
1089	136025	13727
1090	136127	13600
1091	136243	13474
1092	136324	13345
1093	136424	13218
1094	136523	13091
1095	136626	12964
1096	136725	12837
1097	136825	12710
1098	136940	12585
1099	137038	12458
1100	137135	12330
1101	137235	12204
1102	137376	12081
1103	137641	11968
1104	137834	11849
1105	137936	11723
1106	138052	11597
1107	138185	11473
1108	138290	11347
1109	138401	11221
1110	138504	11095
1111	138600	10968
1112	138715	10843
1113	138836	10718
1114	138951	10592
1115	139062	10467
1116	139176	10341
1117	139272	10214
1118	139401	10090
1119	139524	9966
1120	139675	9843
1121	139919	9727
1122	140039	9602
1123	140152	9476
1124	140271	9351
1125	140375	9225
1126	140488	9099
1127	140606	8974
1128	140718	8849
1129	140834	8724
1130	140977	8600
1131	141112	8476
1132	141234	8351
1133	141358	8227
1134	141502	8103
1135	141620	7978
1136	141739	7853
1137	141889	7730
1138	142024	7606
1139	142163	7482
1140	142295	7357
1141	142773	7251
1142	142910	7126
1143	143040	7001
1144	143166	6877
1145	143281	6751
1146	143401	6626
1147	143521	6500
1148	143644	6375
1149	143767	6250
1150	143882	6125
1151	144001	6000
1152	144138	5875
1153	144249	5749
1154	144370	5624
1155	144495	5499
1156	144607	5374
1157	144734	5249
1158	144847	5124
1159	144955	4998
1160	145068	4873
1161	145178	4747
1162	145283	4622
1163	145400	4496
1164	145526	4372
1165	145630	4246
1166	145737	4121
1167	145839	3995
1168	145935	3869
1169	146042	3744
1170	146144	3619
1171	146281	3494
1172	146396	3369
1173	146501	3244
1174	146606	3119
1175	146715	2994
1176	146820	2869
1177	146921	2743
1178	147049	2619
1179	147160	2494
1180	147280	2369
1181	147383	2244
1182	147492	2119
1183	147592	1994
1184	147707	1869
1185	147825	1744
1186	147924	1620
1187	148041	1495
1188	148165	1370
1189	148270	1245
1190	148382	1121
1191	148483	996
1192	148587	871
1193	148741	747
1194	148833	622
1195	148934	498
1196	149041	373
1197	149143	248
1198	149280	124
1199	149373	0
